"full_name","ad","tp_cal","e","q","i","om","w","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT","name","epoch","epoch_cal","a","moid","moid_ld","first_obs","last_obs"
"     C/2002 V1 (NEAT)",2020.93,2003-02-18.2,0.9999,0.099,81.71,64.09,152.17,3.21e+04,COM,350,,1510,,-3.6e-09,4.3e-10,,,NEAT,2452634.5,2002-12-26.0,1011,0.151,58.8,2002-11-06,2003-10-22
"     C/2002 V2 (LINEAR)",10030.62,2003-05-13.6,0.9986,6.812,166.78,20.23,314.68,3.56e+05,COM,1727,,317,,,,,,LINEAR,2452865.5,2003-08-14.0,5019,5.84,2.27e+03,2001-01-03,2005-09-26
"     C/2002 V3 (SOHO)",,2002-11-09.6,1.0000,0.005,144.48,9.49,87.03,,PAR,0,,14,T,,,,,SOHO,2452588.2,2002-11-09.6,,,,2002-11-09,2002-11-09
"     C/2002 V4 (SOHO)",,2002-11-09.7,1.0000,0.036,72.50,74.75,56.33,,PAR,0,,14,T,,,,,SOHO,2452588.2,2002-11-09.7,,,,2002-11-09,2002-11-09
"     C/2002 V5 (SOHO)",,2002-11-12.4,1.0000,0.051,34.24,86.61,19.13,,PAR,1,,28,T,,,,,SOHO,2452590.9,2002-11-12.4,,,,2002-11-11,2002-11-12
"     C/2002 V6 (SOHO)",,2002-11-13.8,1.0000,0.008,138.73,331.90,57.93,,PAR,0,,24,T,,,,,SOHO,2452592.4,2002-11-13.8,,,,2002-11-13,2002-11-13
"     C/2002 V7 (SOHO)",,2002-11-16.2,1.0000,0.005,143.67,8.80,86.62,,PAR,0,,8,T,,,,,SOHO,2452594.7,2002-11-16.2,,,,2002-11-15,2002-11-15
"     C/2002 VQ94 (LINEAR)",396.41,2006-02-06.8,0.9663,6.797,70.52,35.02,100.05,2.86e+03,COM,3479,,1292,,,,,,LINEAR,2453980.5,2006-09-02.0,201.6,6.45,2.51e+03,2001-10-27,2011-05-07
"     C/2002 W1 (SOHO)",,2002-11-16.9,1.0000,0.007,138.86,320.24,48.93,,PAR,0,,10,T,,,,,SOHO,2452595.4,2002-11-16.9,,,,2002-11-16,2002-11-16
"     C/2002 W2 (SOHO)",,2002-11-18.2,1.0000,0.007,144.15,11.08,88.69,,PAR,0,,16,T,,,,,SOHO,2452596.7,2002-11-18.2,,,,2002-11-17,2002-11-17
"     C/2002 W3 (SOHO)",,2002-11-19.1,1.0000,0.005,142.31,12.58,88.62,,PAR,0,,9,T,,,,,SOHO,2452597.6,2002-11-19.1,,,,2002-11-18,2002-11-18
"     C/2002 W4 (SOHO)",,2002-11-19.9,1.0000,0.005,144.06,12.68,88.32,,PAR,0,,6,T,,,,,SOHO,2452598.4,2002-11-19.9,,,,2002-11-19,2002-11-19
"     C/2002 W5 (SOHO)",,2002-11-20.9,1.0000,0.005,143.67,8.42,85.91,,PAR,1,,52,T,,,,,SOHO,2452599.5,2002-11-20.9,,,,2002-11-19,2002-11-20
"     C/2002 W6 (SOHO)",,2002-11-20.7,1.0000,0.005,141.93,13.31,89.07,,PAR,0,,6,T,,,,,SOHO,2452599.2,2002-11-20.7,,,,2002-11-20,2002-11-20
"     C/2002 W7 (SOHO)",,2002-11-22.3,1.0000,0.008,139.69,327.04,53.52,,PAR,1,,11,T,,,,,SOHO,2452600.8,2002-11-22.3,,,,2002-11-21,2002-11-22
"     C/2002 W8 (SOHO)",,2002-11-23.1,1.0000,0.007,139.37,339.16,63.01,,PAR,0,,19,T,,,,,SOHO,2452601.6,2002-11-23.1,,,,2002-11-22,2002-11-22
"     C/2002 W9 (SOHO)",,2002-11-23.7,1.0000,0.005,144.03,6.73,84.98,,PAR,1,,31,T,,,,,SOHO,2452602.2,2002-11-23.7,,,,2002-11-22,2002-11-23
"     C/2002 W10 (SOHO)",,2002-11-24.8,1.0000,0.005,141.11,18.30,92.75,,PAR,0,,5,T,,,,,SOHO,2452603.3,2002-11-24.8,,,,2002-11-24,2002-11-24
"     C/2002 W11 (SOHO)",,2002-11-25.4,1.0000,0.005,143.17,13.74,90.40,,PAR,0,,5,T,,,,,SOHO,2452604.0,2002-11-25.4,,,,2002-11-25,2002-11-25
"     C/2002 W12 (SOHO)",,2002-11-28.9,1.0000,0.005,144.49,4.32,83.42,,PAR,1,,53,T,,,,,SOHO,2452607.5,2002-11-28.9,,,,2002-11-27,2002-11-28
"     C/2002 W13 (SOHO)",,2002-11-28.3,1.0000,0.005,143.49,9.07,87.37,,PAR,1,,8,T,,,,,SOHO,2452606.8,2002-11-28.3,,,,2002-11-27,2002-11-28
"     C/2002 W14 (SOHO)",,2002-11-29.1,1.0000,0.005,143.16,9.30,87.12,,PAR,0,,8,T,,,,,SOHO,2452607.6,2002-11-29.1,,,,2002-11-28,2002-11-28
"     C/2002 W15 (SOHO)",,2002-11-29.5,1.0000,0.007,145.16,9.26,88.01,,PAR,0,,6,T,,,,,SOHO,2452608.0,2002-11-29.5,,,,2002-11-29,2002-11-29
